source,target,value,kasus,sumber_data
0,30,20,change,#balinotforsale
0,46,18,change,#balinotforsale
1,12,17,change,#balinotforsale
2,12,13,change,#balinotforsale
3,12,12,change,#balinotforsale
4,30,12,change,#balinotforsale
5,305,12,change,#balinotforsale
6,12,11,change,#balinotforsale
7,12,10,change,#balinotforsale
8,12,10,change,#balinotforsale
9,12,10,change,#balinotforsale
10,12,9,change,#balinotforsale
11,12,9,change,#balinotforsale
12,30,9,change,#balinotforsale
13,12,9,change,#balinotforsale
14,12,9,change,#balinotforsale
3,30,9,change,#balinotforsale
15,12,9,change,#balinotforsale
16,30,9,change,#balinotforsale
17,12,8,change,#balinotforsale
18,12,8,change,#balinotforsale
19,12,8,change,#balinotforsale
20,12,8,change,#balinotforsale
21,305,8,change,#balinotforsale
22,305,8,change,#balinotforsale
23,306,8,change,#balinotforsale
24,12,7,change,#balinotforsale
25,305,7,change,#balinotforsale
26,305,7,change,#balinotforsale
27,30,7,change,#balinotforsale
28,12,7,change,#balinotforsale
29,12,7,change,#balinotforsale
30,12,7,change,#balinotforsale
3,0,7,change,#balinotforsale
3,307,7,change,#balinotforsale
31,305,7,change,#balinotforsale
32,30,7,change,#balinotforsale
33,12,7,change,#balinotforsale
34,305,7,change,#balinotforsale
35,12,7,change,#balinotforsale
36,30,7,change,#balinotforsale
37,0,7,change,#balinotforsale
38,12,7,change,#balinotforsale
39,305,6,change,#balinotforsale
40,30,6,change,#balinotforsale
10,308,6,change,#balinotforsale
41,12,6,change,#balinotforsale
42,12,6,change,#balinotforsale
12,138,6,change,#balinotforsale
12,46,6,change,#balinotforsale
12,77,6,change,#balinotforsale
43,12,6,change,#balinotforsale
30,3,6,change,#balinotforsale
8,30,6,change,#balinotforsale
44,12,6,change,#balinotforsale
45,12,6,change,#balinotforsale
47,305,6,change,#balinotforsale
48,12,5,change,#balinotforsale
24,30,5,change,#balinotforsale
49,30,5,change,#balinotforsale
50,12,5,change,#balinotforsale
51,12,5,change,#balinotforsale
52,12,5,change,#balinotforsale
53,309,5,change,#balinotforsale
54,12,5,change,#balinotforsale
55,309,5,change,#balinotforsale
56,12,5,change,#balinotforsale
57,305,5,change,#balinotforsale
58,12,5,change,#balinotforsale
59,30,5,change,#balinotforsale
60,310,5,change,#balinotforsale
61,305,5,change,#balinotforsale
62,12,5,change,#balinotforsale
3,311,5,change,#balinotforsale
63,12,5,change,#balinotforsale
63,126,5,change,#balinotforsale
64,30,5,change,#balinotforsale
65,12,5,change,#balinotforsale
66,30,5,change,#balinotforsale
67,12,5,change,#balinotforsale
68,122,5,change,#balinotforsale
69,12,5,change,#balinotforsale
70,12,5,change,#balinotforsale
71,305,5,change,#balinotforsale
72,312,5,change,#balinotforsale
73,12,5,change,#balinotforsale
74,305,5,change,#balinotforsale
75,67,5,change,#balinotforsale
76,313,5,change,#balinotforsale
77,30,5,change,#balinotforsale
78,12,5,change,#balinotforsale
79,12,4,change,#balinotforsale
80,12,4,change,#balinotforsale
81,12,4,change,#balinotforsale
82,12,4,change,#balinotforsale
83,305,4,change,#balinotforsale
84,8,4,change,#balinotforsale
85,12,4,change,#balinotforsale
86,12,4,change,#balinotforsale
87,12,4,change,#balinotforsale
88,314,4,change,#balinotforsale
88,12,4,change,#balinotforsale
89,12,4,change,#balinotforsale
90,315,4,change,#balinotforsale
91,12,4,change,#balinotforsale
92,305,4,change,#balinotforsale
93,12,4,change,#balinotforsale
94,12,4,change,#balinotforsale
95,12,4,change,#balinotforsale
42,30,4,change,#balinotforsale
12,19,4,change,#balinotforsale
96,12,4,change,#balinotforsale
97,305,4,change,#balinotforsale
98,316,4,change,#balinotforsale
99,12,4,change,#balinotforsale
