source,target,value,kasus,sumber_data
0,195,195,change,#balitolakreklamasi
1,196,136,change,#balitolakreklamasi
2,195,130,change,#balitolakreklamasi
3,197,110,change,#balitolakreklamasi
3,198,106,change,#balitolakreklamasi
2,199,102,change,#balitolakreklamasi
2,200,82,change,#balitolakreklamasi
4,197,78,change,#balitolakreklamasi
3,49,76,change,#balitolakreklamasi
5,198,72,change,#balitolakreklamasi
6,195,69,change,#balitolakreklamasi
0,200,67,change,#balitolakreklamasi
4,198,66,change,#balitolakreklamasi
7,198,57,change,#balitolakreklamasi
8,49,56,change,#balitolakreklamasi
1,201,53,change,#balitolakreklamasi
0,4,53,change,#balitolakreklamasi
9,49,52,change,#balitolakreklamasi
10,49,52,change,#balitolakreklamasi
11,196,52,change,#balitolakreklamasi
12,196,47,change,#balitolakreklamasi
13,202,46,change,#balitolakreklamasi
2,197,44,change,#balitolakreklamasi
8,197,43,change,#balitolakreklamasi
0,199,43,change,#balitolakreklamasi
14,195,43,change,#balitolakreklamasi
7,5,40,change,#balitolakreklamasi
10,203,40,change,#balitolakreklamasi
15,49,40,change,#balitolakreklamasi
16,196,40,change,#balitolakreklamasi
6,30,39,change,#balitolakreklamasi
17,197,38,change,#balitolakreklamasi
3,30,38,change,#balitolakreklamasi
10,204,37,change,#balitolakreklamasi
18,198,37,change,#balitolakreklamasi
19,49,37,change,#balitolakreklamasi
8,198,36,change,#balitolakreklamasi
16,4,36,change,#balitolakreklamasi
20,198,35,change,#balitolakreklamasi
4,199,34,change,#balitolakreklamasi
9,30,34,change,#balitolakreklamasi
10,205,34,change,#balitolakreklamasi
10,206,34,change,#balitolakreklamasi
10,207,34,change,#balitolakreklamasi
21,49,33,change,#balitolakreklamasi
22,198,33,change,#balitolakreklamasi
2,198,33,change,#balitolakreklamasi
23,208,33,change,#balitolakreklamasi
16,30,33,change,#balitolakreklamasi
6,4,32,change,#balitolakreklamasi
1,197,31,change,#balitolakreklamasi
24,209,31,change,#balitolakreklamasi
25,195,30,change,#balitolakreklamasi
26,197,30,change,#balitolakreklamasi
11,49,30,change,#balitolakreklamasi
27,49,30,change,#balitolakreklamasi
20,49,29,change,#balitolakreklamasi
25,199,28,change,#balitolakreklamasi
28,198,28,change,#balitolakreklamasi
29,210,28,change,#balitolakreklamasi
31,49,27,change,#balitolakreklamasi
32,211,27,change,#balitolakreklamasi
33,49,27,change,#balitolakreklamasi
25,200,26,change,#balitolakreklamasi
34,195,26,change,#balitolakreklamasi
30,197,26,change,#balitolakreklamasi
32,212,26,change,#balitolakreklamasi
3,213,26,change,#balitolakreklamasi
16,214,26,change,#balitolakreklamasi
35,30,25,change,#balitolakreklamasi
36,49,25,change,#balitolakreklamasi
37,49,25,change,#balitolakreklamasi
38,49,25,change,#balitolakreklamasi
39,209,24,change,#balitolakreklamasi
4,49,24,change,#balitolakreklamasi
40,49,24,change,#balitolakreklamasi
41,4,24,change,#balitolakreklamasi
42,196,24,change,#balitolakreklamasi
2,215,24,change,#balitolakreklamasi
19,30,24,change,#balitolakreklamasi
43,198,24,change,#balitolakreklamasi
3,4,24,change,#balitolakreklamasi
6,216,24,change,#balitolakreklamasi
27,4,24,change,#balitolakreklamasi
44,30,23,change,#balitolakreklamasi
45,5,23,change,#balitolakreklamasi
8,54,23,change,#balitolakreklamasi
10,4,23,change,#balitolakreklamasi
46,49,22,change,#balitolakreklamasi
8,217,22,change,#balitolakreklamasi
2,4,22,change,#balitolakreklamasi
28,49,22,change,#balitolakreklamasi
47,209,22,change,#balitolakreklamasi
33,198,22,change,#balitolakreklamasi
48,49,22,change,#balitolakreklamasi
49,198,21,change,#balitolakreklamasi
