source,target,value,kasus,sumber_data
0,127,16,gojek,twit_gojek
1,128,14,gojek,twit_gojek
1,129,12,gojek,twit_gojek
2,127,11,gojek,twit_gojek
3,127,10,gojek,twit_gojek
4,67,10,gojek,twit_gojek
5,127,9,gojek,twit_gojek
2,130,9,gojek,twit_gojek
2,68,8,gojek,twit_gojek
2,131,8,gojek,twit_gojek
6,127,7,gojek,twit_gojek
7,129,7,gojek,twit_gojek
8,132,7,gojek,twit_gojek
9,67,7,gojek,twit_gojek
10,67,7,gojek,twit_gojek
11,67,6,gojek,twit_gojek
1,133,6,gojek,twit_gojek
8,134,6,gojek,twit_gojek
12,127,6,gojek,twit_gojek
13,67,6,gojek,twit_gojek
14,127,6,gojek,twit_gojek
15,127,6,gojek,twit_gojek
3,135,5,gojek,twit_gojek
16,127,5,gojek,twit_gojek
8,136,5,gojek,twit_gojek
8,137,5,gojek,twit_gojek
13,138,5,gojek,twit_gojek
17,67,5,gojek,twit_gojek
18,127,5,gojek,twit_gojek
19,139,5,gojek,twit_gojek
19,140,5,gojek,twit_gojek
20,141,4,gojek,twit_gojek
20,140,4,gojek,twit_gojek
21,127,4,gojek,twit_gojek
22,130,4,gojek,twit_gojek
22,142,4,gojek,twit_gojek
23,143,4,gojek,twit_gojek
24,144,4,gojek,twit_gojek
25,67,4,gojek,twit_gojek
26,67,4,gojek,twit_gojek
27,68,4,gojek,twit_gojek
7,128,4,gojek,twit_gojek
7,32,4,gojek,twit_gojek
28,67,4,gojek,twit_gojek
1,145,4,gojek,twit_gojek
29,127,4,gojek,twit_gojek
30,67,4,gojek,twit_gojek
31,67,4,gojek,twit_gojek
31,138,4,gojek,twit_gojek
32,146,4,gojek,twit_gojek
19,147,4,gojek,twit_gojek
33,127,4,gojek,twit_gojek
9,138,4,gojek,twit_gojek
9,127,4,gojek,twit_gojek
34,67,4,gojek,twit_gojek
35,127,4,gojek,twit_gojek
36,67,4,gojek,twit_gojek
22,148,3,gojek,twit_gojek
37,67,3,gojek,twit_gojek
38,127,3,gojek,twit_gojek
39,127,3,gojek,twit_gojek
40,127,3,gojek,twit_gojek
41,149,3,gojek,twit_gojek
7,127,3,gojek,twit_gojek
42,127,3,gojek,twit_gojek
43,67,3,gojek,twit_gojek
44,150,3,gojek,twit_gojek
45,127,3,gojek,twit_gojek
46,151,3,gojek,twit_gojek
