source,target,value,kasus,sumber_data
0,26,2.7810369386211318,change,web_petisi
1,2,1.0791812460476249,change,web_petisi
0,2,2.5237464668115646,change,web_petisi
3,4,1.3222192947339193,change,web_petisi
4,5,1.4471580313422192,change,web_petisi
4,6,1.7323937598229686,change,web_petisi
7,88,2.12057393120585,change,web_petisi
1,4,0.8450980400142568,change,web_petisi
4,8,0.9542425094393249,change,web_petisi
4,9,1,change,web_petisi
3,10,1.3617278360175928,change,web_petisi
4,11,1.3222192947339193,change,web_petisi
2,10,0.8450980400142568,change,web_petisi
4,12,0.6989700043360189,change,web_petisi
4,156,0.9030899869919435,change,web_petisi
13,165,1.8325089127062364,change,web_petisi
4,14,0.7781512503836436,change,web_petisi
4,99,1.0791812460476249,change,web_petisi
10,25,0.6989700043360189,change,web_petisi
4,15,1.1760912590556813,change,web_petisi
4,16,0.9542425094393249,change,web_petisi
3,17,1.7708520116421442,change,web_petisi
4,10,1.5440680443502757,change,web_petisi
3,39,1.7481880270062005,change,web_petisi
2,4,1.6334684555795864,change,web_petisi
18,19,1.7403626894942439,change,web_petisi
19,282,1.7323937598229686,change,web_petisi
20,108,0.8450980400142568,change,web_petisi
4,50,0.6989700043360189,change,web_petisi
2,21,1.7075701760979363,change,web_petisi
3,16,1.1760912590556813,change,web_petisi
4,39,1.4313637641589874,change,web_petisi
22,210,1.6532125137753437,change,web_petisi
23,33,1.6532125137753437,change,web_petisi
3,24,1.6434526764861874,change,web_petisi
25,89,1.6334684555795864,change,web_petisi
4,26,1.6232492903979006,change,web_petisi
4,199,1.6127838567197355,change,web_petisi
3,27,1.6127838567197355,change,web_petisi
4,28,1.0413926851582251,change,web_petisi
4,13,1.4313637641589874,change,web_petisi
4,44,1,change,web_petisi
4,29,1.5563025007672873,change,web_petisi
10,54,1.5563025007672873,change,web_petisi
26,30,1.5440680443502757,change,web_petisi
4,135,1.5185139398778875,change,web_petisi
2,26,1.1760912590556813,change,web_petisi
31,283,1.5185139398778875,change,web_petisi
4,106,1.505149978319906,change,web_petisi
6,284,1.505149978319906,change,web_petisi
2,32,1.505149978319906,change,web_petisi
33,285,1.4913616938342726,change,web_petisi
4,34,1,change,web_petisi
4,35,0.9542425094393249,change,web_petisi
4,36,1.4771212547196624,change,web_petisi
37,65,1.462397997898956,change,web_petisi
4,38,1.1139433523068367,change,web_petisi
4,286,1.4471580313422192,change,web_petisi
20,26,1.4471580313422192,change,web_petisi
4,25,0.6989700043360189,change,web_petisi
2,37,1.4471580313422192,change,web_petisi
17,40,1.4313637641589874,change,web_petisi
4,63,1.2787536009528289,change,web_petisi
41,63,1.414973347970818,change,web_petisi
3,11,1.414973347970818,change,web_petisi
3,42,1.414973347970818,change,web_petisi
2,43,1.414973347970818,change,web_petisi
4,49,1.3979400086720377,change,web_petisi
44,144,1.3979400086720377,change,web_petisi
5,45,1.3979400086720377,change,web_petisi
13,95,1.3979400086720377,change,web_petisi
4,225,1.380211241711606,change,web_petisi
46,131,1.380211241711606,change,web_petisi
20,287,1.380211241711606,change,web_petisi
1,57,1.380211241711606,change,web_petisi
4,288,1.3617278360175928,change,web_petisi
4,211,0.7781512503836436,change,web_petisi
47,289,1.3617278360175928,change,web_petisi
4,48,0.9542425094393249,change,web_petisi
49,290,1.3617278360175928,change,web_petisi
2,50,1.3424226808222062,change,web_petisi
51,89,1.3424226808222062,change,web_petisi
16,52,1.2041199826559248,change,web_petisi
52,230,1.3222192947339193,change,web_petisi
4,53,1.255272505103306,change,web_petisi
2,47,0.9030899869919435,change,web_petisi
54,131,1.3222192947339193,change,web_petisi
0,55,1.3222192947339193,change,web_petisi
3,99,1.3010299956639813,change,web_petisi
23,56,1.3010299956639813,change,web_petisi
2,57,1.3010299956639813,change,web_petisi
4,58,1.3010299956639813,change,web_petisi
2,80,1.3010299956639813,change,web_petisi
2,59,1.3010299956639813,change,web_petisi
23,60,1.2787536009528289,change,web_petisi
10,26,1.2787536009528289,change,web_petisi
11,39,0.7781512503836436,change,web_petisi
47,124,1.2787536009528289,change,web_petisi
61,118,1.2787536009528289,change,web_petisi
62,291,1.2787536009528289,change,web_petisi
17,25,1.2787536009528289,change,web_petisi
