Id,Label,modularity_class,eigencentrality,betweenesscentrality,Eccentricity,closnesscentrality,kasus,sumber_data
0,@ampuradewisri,2,0.124071,230.166667,4,0.372093,change,#balinotforsale
1,@TheRumbleShop,0,0,0,4,0.425,change,#balinotforsale
2,@RayssonySonyy,0,0,0,4,0.395349,change,#balinotforsale
3,@bogbogcartoon,2,0.486697,1096,3,0.571429,change,#balinotforsale
4,@dhe_lowrider,2,0,0,4,0.404762,change,#balinotforsale
5,@salsanazeliaa,23,0,0,1,1,change,#balinotforsale
6,@Sinin_outsider,0,0,0,4,0.395349,change,#balinotforsale
7,@ekaoutsiders2,0,0,0,4,0.395349,change,#balinotforsale
8,@jojochristopher,0,0.003168,17,4,0.404762,change,#balinotforsale
9,@wyn_awan,0,0,0,4,0.409091,change,#balinotforsale
10,@AzkilHilmyAM,0,0,0,4,0.409091,change,#balinotforsale
11,@DanKurowo,0,0,0,4,0.395349,change,#balinotforsale
12,@JRX_SID,0,1,2553.666667,3,0.615385,change,#balinotforsale
13,@YudhanHanung,0,0,0,4,0.409091,change,#balinotforsale
14,@bagasrebel,0,0,0,4,0.395349,change,#balinotforsale
15,@mahesa_outsider,0,0,0,4,0.409091,change,#balinotforsale
16,@surawk,2,0,0,4,0.425,change,#balinotforsale
17,@Bonnie_Clyde13,0,0,0,4,0.395349,change,#balinotforsale
18,@LEJ_OWAH,0,0,0,4,0.409091,change,#balinotforsale
19,@gendovara,1,0.34662,397,4,0.432432,change,#balinotforsale
20,@leakBALI_,0,0.003168,17,4,0.395349,change,#balinotforsale
21,@nuzilah98,23,0,0,1,1,change,#balinotforsale
22,@papmaputt,23,0,0,1,1,change,#balinotforsale
23,@rdhiens,1,0,0,4,0.465116,change,#balinotforsale
24,@Aguenk12,0,0,0,4,0.404762,change,#balinotforsale
25,@CyJovita,23,0,0,1,1,change,#balinotforsale
26,@HildaYanti98,23,0,0,1,1,change,#balinotforsale
27,@Indounik,2,0,0,4,0.34,change,#balinotforsale
28,@OSD_GIANYAR,0,0,0,4,0.422222,change,#balinotforsale
29,@OSD_LR_MATARAM,0,0,0,4,0.409091,change,#balinotforsale
30,@anak_alam,2,0.650276,510.166667,3,0.484848,change,#balinotforsale
31,@gadis_SL,23,0,0,1,1,change,#balinotforsale
32,@juli_sastrawan,2,0,0,4,0.34,change,#balinotforsale
33,@madearta4,0,0,0,4,0.395349,change,#balinotforsale
34,@magdalenarnuli,23,0,0,1,1,change,#balinotforsale
35,@pandeSHIE,0,0,0,4,0.395349,change,#balinotforsale
36,@putuekas_,2,0,0,3,0.5,change,#balinotforsale
37,@rahde2012,2,0,0,4,0.377778,change,#balinotforsale
38,@wiraholic,0,0,0,4,0.395349,change,#balinotforsale
39,@Anisyandn,23,0,0,1,1,change,#balinotforsale
40,@Aschaya_BIT,2,0,0,4,0.34,change,#balinotforsale
