Id,Label,modularity_class,eigencentrality,betweenesscentrality,Eccentricity,closnesscentrality,kasus,sumber_data
0,@bobbysusila16,3,0,0,3,0.588235,change,#balitolakreklamasi
1,@BinekaIndonesia,0,0,0,1,1,change,#balitolakreklamasi
2,@bobbyalcoholic,3,0,0,2,0.782609,change,#balitolakreklamasi
3,@ronaldosagala,1,0,0,2,0.735294,change,#balitolakreklamasi
4,@ForBALI13,3,0.273642,526.75,2,0.875,change,#balitolakreklamasi
5,@TheBullheadBali,2,0.011719,12,3,0.583333,change,#balitolakreklamasi
6,@smilingdiana,3,0,0,3,0.59375,change,#balitolakreklamasi
7,@CopokTBH,2,0,0,3,0.571429,change,#balitolakreklamasi
8,@ERX_BASTARD,19,0.025651,81.5,2,0.689655,change,#balitolakreklamasi
9,@KAKATOBILL,10,0,0,3,0.428571,change,#balitolakreklamasi
10,@SarinaIDN,21,0,0,2,0.697674,change,#balitolakreklamasi
11,@hery_karistiana,13,0,0,2,0.6,change,#balitolakreklamasi
12,@ranyaranyy,6,0,0,1,1,change,#balitolakreklamasi
13,@MCAOps,4,0,0,1,1,change,#balitolakreklamasi
14,@smileforbali,3,0,0,1,1,change,#balitolakreklamasi
15,@VikoJulian5,13,0,0,3,0.454545,change,#balitolakreklamasi
16,@zo3nomad,6,0,0,2,0.615385,change,#balitolakreklamasi
17,@AdiTyo_outSIDer,0,0,0,3,0.6,change,#balitolakreklamasi
18,@candrarock,3,0,0,1,1,change,#balitolakreklamasi
19,@goestra714,13,0,0,2,0.625,change,#balitolakreklamasi
20,@FMH_besar,10,0,0,3,0.428571,change,#balitolakreklamasi
21,@Gigih95s,13,0,0,3,0.5,change,#balitolakreklamasi
22,@alphanya,19,0,0,1,1,change,#balitolakreklamasi
23,@dewie_9,5,0,0,1,1,change,#balitolakreklamasi
24,@bayupramanaaa,8,0,0,1,1,change,#balitolakreklamasi
25,@AlcoholicRider,3,0,0,1,1,change,#balitolakreklamasi
26,@GunturArsana,0,0,0,2,0.666667,change,#balitolakreklamasi
27,@terry_Husein,21,0,0,2,0.551724,change,#balitolakreklamasi
28,@dethie_turpyn,2,0,0,3,0.545455,change,#balitolakreklamasi
29,@fidel_glenis,9,0,0,1,1,change,#balitolakreklamasi
30,@gendovara,10,0.29566,301.583333,2,0.583333,change,#balitolakreklamasi
31,@MixeratorMixer,13,0,0,3,0.5,change,#balitolakreklamasi
32,@gisetra,7,0,0,1,1,change,#balitolakreklamasi
33,@surryapradana,10,0,0,3,0.454545,change,#balitolakreklamasi
34,@dodikkomang,3,0,0,3,0.538462,change,#balitolakreklamasi
35,@Bonnie_Clyde13,10,0,0,3,0.428571,change,#balitolakreklamasi
36,@Donald_Bebek13,10,0,0,3,0.416667,change,#balitolakreklamasi
37,@NasutionOSD,13,0,0,3,0.5,change,#balitolakreklamasi
38,@leakBALI_,0,0,0,3,0.428571,change,#balitolakreklamasi
39,@Aridarmawan44,8,0,0,1,1,change,#balitolakreklamasi
40,@OSD_LR_MATARAM,13,0,0,3,0.5,change,#balitolakreklamasi
41,@SyambudiRahmad,3,0,0,3,0.483871,change,#balitolakreklamasi
42,@ayukpiyuk,6,0,0,1,1,change,#balitolakreklamasi
43,@itsmeRoberto,0,0,0,1,1,change,#balitolakreklamasi
44,@Adi_FuramaCafe,3,0,0,3,0.5,change,#balitolakreklamasi
45,@AjiqCool,2,0,0,4,0.421053,change,#balitolakreklamasi
46,@DanKurowo,13,0,0,3,0.5,change,#balitolakreklamasi
47,@kuruskrempeng_,8,0,0,1,1,change,#balitolakreklamasi
48,@wayanardiGN,3,0,0,3,0.432432,change,#balitolakreklamasi
49,@JRX_SID,13,0.740268,383.083333,2,0.833333,change,#balitolakreklamasi
50,@SeniDiHariLibur,6,0,0,1,1,change,#balitolakreklamasi
51,@elvis_judit,10,0,0,3,0.447368,change,#balitolakreklamasi
52,@marcomarynda,13,0,0,3,0.5,change,#balitolakreklamasi
53,@ChikaHirdaM,9,0,0,1,1,change,#balitolakreklamasi
54,@PartaiSocmed,19,0.027646,25.5,3,0.416667,change,#balitolakreklamasi
55,@ThugusAuthentic,8,0,0,1,1,change,#balitolakreklamasi
56,@andiks666,1,0,0,2,0.7,change,#balitolakreklamasi
57,@arik_pastika,19,0,0,3,0.396226,change,#balitolakreklamasi
58,@gung_radit,3,0,0,2,0.555556,change,#balitolakreklamasi
59,@putu_wiryo,10,0,0,3,0.432432,change,#balitolakreklamasi
60,@RickyMYS,13,0,0,3,0.5,change,#balitolakreklamasi
61,@cicacuitcuit,6,0,0,1,1,change,#balitolakreklamasi
62,@kirmawansyah_s,6,0,0,1,1,change,#balitolakreklamasi
63,@Angga_Scoot,13,0,0,3,0.5,change,#balitolakreklamasi
64,@AryaAndita,0,0,0,3,0.545455,change,#balitolakreklamasi
65,@JuliAstawaa,3,0,0,2,0.576923,change,#balitolakreklamasi
66,@NaraDcrow,3,0,0,1,1,change,#balitolakreklamasi
67,@frendy_aldhama,2,0,0,1,1,change,#balitolakreklamasi
68,@kikiwindianto,13,0,0,2,0.6,change,#balitolakreklamasi
69,@yasa_umbara,3,0,0,3,0.405405,change,#balitolakreklamasi
70,@AnakKampungBali,3,0,0,2,0.592593,change,#balitolakreklamasi
71,@MaisaSuardana,2,0,0,1,1,change,#balitolakreklamasi
72,@WidanaD,2,0,0,1,1,change,#balitolakreklamasi
73,@benjosayuti,0,0,0,1,1,change,#balitolakreklamasi
74,@diztrufe,11,0,0,1,1,change,#balitolakreklamasi
75,@kadalstupied,13,0,0,2,0.6,change,#balitolakreklamasi
76,@melaniesubono,1,0.003906,0,2,0.535714,change,#balitolakreklamasi
77,@nathansugiarto,2,0,0,3,0.545455,change,#balitolakreklamasi
78,@oktavianyra,12,0,0,1,1,change,#balitolakreklamasi
79,@xRMBLx,13,0.36517,70.833333,2,0.833333,change,#balitolakreklamasi
80,@Aris_2796,13,0,0,3,0.5,change,#balitolakreklamasi
81,@IntanParamitha,3,0,0,1,1,change,#balitolakreklamasi
82,@Nda_LadyRose2,13,0,0,3,0.5,change,#balitolakreklamasi
83,@OSD_KARANGASEM,0,0,0,3,0.517241,change,#balitolakreklamasi
84,@aditya_dicka,3,0,0,2,0.555556,change,#balitolakreklamasi
85,@adnanirawan_,13,0,0,3,0.5,change,#balitolakreklamasi
86,@ariqginjall,2,0,0,1,1,change,#balitolakreklamasi
87,@benigade,3,0,0,2,0.535714,change,#balitolakreklamasi
88,@edhorockk,2,0,0,3,0.545455,change,#balitolakreklamasi
89,@outsider_bukit,0,0,0,1,1,change,#balitolakreklamasi
90,@steelbonerigid,2,0,0,4,0.444444,change,#balitolakreklamasi
91,@DheazhLR_354,13,0,0,3,0.5,change,#balitolakreklamasi
92,@FAIRISATRIO_,6,0,0,1,1,change,#balitolakreklamasi
93,@Hannyayudiann,10,0,0,3,0.454545,change,#balitolakreklamasi
94,@RR_besarrr,2,0,0,3,0.545455,change,#balitolakreklamasi
95,@Twiitberdikari,2,0,0,1,1,change,#balitolakreklamasi
96,@ahonk_fuck,13,0,0,3,0.416667,change,#balitolakreklamasi
97,@rifqikool,10,0,0,3,0.416667,change,#balitolakreklamasi
98,@sarasdewi,1,0.003906,0,1,1,change,#balitolakreklamasi
99,@wyn_awan,10,0,0,3,0.416667,change,#balitolakreklamasi
100,@8rianna_,3,0,0,3,0.483871,change,#balitolakreklamasi
101,@RIANakaCHEMIE,6,0,0,1,1,change,#balitolakreklamasi
