topic,term,beta,sumber_data,kasus
1,love bali,0.013682599792359593,petisi,change
1,teluk benoa,0.011980775602752566,petisi,change
1,pulau bali,0.006949735854961325,petisi,change
1,bali sale,0.006593934305080879,petisi,change
1,save bali,0.0055484267086532615,petisi,change
1,bali bali,0.005010398981425615,petisi,change
1,bali indah,0.004338312184266451,petisi,change
1,setuju reklamasi,0.003845917347716265,petisi,change
1,perpres fiftyone,0.003829143886913407,petisi,change
1,reklamasi rusak,0.003735899532104233,petisi,change
1,fiftyone twothousandandfourteen,0.0029692423143931157,petisi,change
1,reklamasi teluk,0.002904202943842325,petisi,change
1,masyarakat bali,0.002782098467989067,petisi,change
1,rusak lingkungan,0.0027449025354379557,petisi,change
1,orang bali,0.0027248316381063824,petisi,change
2,orang bali,0.011664413863815316,petisi,change
2,rusak alam,0.009342049552252237,petisi,change
2,alam bali,0.008296794086167587,petisi,change
2,anak cucu,0.007477028208203518,petisi,change
2,kelestarian alam,0.006500994406165578,petisi,change
2,tolak reklamasi,0.006249930861741056,petisi,change
2,reklamasi rusak,0.0054866063394052615,petisi,change
2,teluk benoa,0.004317424828075655,petisi,change
2,keindahan alam,0.003893573360482056,petisi,change
2,bali bali,0.003797003400589865,petisi,change
2,rusak lingkungan,0.0036985087244264148,petisi,change
2,menjaga kelestarian,0.0034922886433526265,petisi,change
2,budaya bali,0.0033107950253873824,petisi,change
2,warga bali,0.0033013531401320053,petisi,change
2,alam rusak,0.0027666430884557263,petisi,change
3,tolak reklamasi,0.06758662986163745,petisi,change
3,teluk benoa,0.06286446571663976,petisi,change
3,reklamasi teluk,0.0465637247869389,petisi,change
3,bali tolak,0.01622693981426277,petisi,change
3,masyarakat bali,0.005794270626180224,petisi,change
3,alam bali,0.005012843624453157,petisi,change
3,pulau bali,0.004000002704146179,petisi,change
3,setuju reklamasi,0.0037679809926884464,petisi,change
3,benoa bali,0.00361050538837655,petisi,change
3,selamatkan bali,0.003559932019516103,petisi,change
3,reklamasi berkedok,0.003525481468846453,petisi,change
3,berkedok revitalisasi,0.003503167502369301,petisi,change
3,peduli lingkungan,0.003180681432331205,petisi,change
3,rakyat bali,0.0031636639823367984,petisi,change
3,tolak keras,0.0031563227491105267,petisi,change
4,bali bali,0.00794710030859012,petisi,change
4,love bali,0.003949200320786074,petisi,change
4,teluk benoa,0.003575558132079062,petisi,change
4,bali people,0.00313407552296439,petisi,change
4,bali milik,0.002656594313457064,petisi,change
4,rusak bali,0.002455966297227573,petisi,change
4,bali rumah,0.00243858414207348,petisi,change
4,orang bali,0.002300740179029644,petisi,change
4,hita karana,0.0022034619206158013,petisi,change
4,tri hita,0.002201780535892621,petisi,change
4,people bali,0.002141022859550365,petisi,change
4,bali culture,0.0019952729454090117,petisi,change
4,balinese people,0.0019927407405177433,petisi,change
4,care bali,0.0018891378206420313,petisi,change
4,ajeg bali,0.0018635878736883852,petisi,change
5,cinta bali,0.01611806620167234,petisi,change
5,alam bali,0.009516608115575588,petisi,change
5,alam indonesia,0.006481749443366821,petisi,change
5,tanah kelahiran,0.005819547280272506,petisi,change
5,anak cucu,0.005813770524804593,petisi,change
5,bali rusak,0.005548757611229564,petisi,change
5,bali bali,0.00474733280242427,petisi,change
5,cinta indonesia,0.003969316037440721,petisi,change
5,cinta alam,0.0036743049842290847,petisi,change
5,biarkan bali,0.0036498586462325004,petisi,change
5,peduli bali,0.003515679918891667,petisi,change
5,peduli alam,0.0031754526343439195,petisi,change
5,hita karana,0.002738245434102891,petisi,change
5,tri hita,0.002729174329918017,petisi,change
5,bali butuh,0.0027222951523470616,petisi,change
1,ojek online,0.014340523475948986,petisi_gojek,gojek
1,gojek bantu,0.009039848079804753,petisi_gojek,gojek
1,transportasi online,0.0062633535185060984,petisi_gojek,gojek
1,bebas memilih,0.004556792835046427,petisi_gojek,gojek
1,memilih transportasi,0.00326915786810912,petisi_gojek,gojek
1,terbantu gojek,0.002451058019560628,petisi_gojek,gojek
1,membutuhkan gojek,0.0024318375070913572,petisi_gojek,gojek
1,lapangan kerja,0.0023446128241116815,petisi_gojek,gojek
1,permenhub onehundredandeight,0.0022902770230006997,petisi_gojek,gojek
1,kota tasikmalaya,0.0021794385787392814,petisi_gojek,gojek
1,lapangan pekerjaan,0.0021794385787385494,petisi_gojek,gojek
1,bantu masyarakat,0.002179438578738207,petisi_gojek,gojek
1,driver online,0.0021794385210357403,petisi_gojek,gojek
1,menandatangani gojek,0.002179396380017405,petisi_gojek,gojek
1,online bantu,0.0021046065725464176,petisi_gojek,gojek
2,transportasi online,0.009260171343374096,petisi_gojek,gojek
2,ojek online,0.00519127550808753,petisi_gojek,gojek
2,memilih transportasi,0.0043601751014746915,petisi_gojek,gojek
2,butuh gojek,0.004343764616266828,petisi_gojek,gojek
2,taksi online,0.0039505050024607824,petisi_gojek,gojek
2,ojek pangkalan,0.003488140081182322,petisi_gojek,gojek
2,aman nyaman,0.00348814008118151,petisi_gojek,gojek
2,nyaman aman,0.003488140081181101,petisi_gojek,gojek
2,driver gojek,0.0026161050608862423,petisi_gojek,gojek
2,online bantu,0.002616105060881093,petisi_gojek,gojek
2,transportasi berbasis,0.0025455360981984734,petisi_gojek,gojek
2,gojek solo,0.002421591520001501,petisi_gojek,gojek
2,gojek bermanfaat,0.0023253754524573855,petisi_gojek,gojek
2,gojek purwokerto,0.0020347483806908706,petisi_gojek,gojek
2,berhak memilih,0.002034748380690773,petisi_gojek,gojek
3,transportasi online,0.018427641129876868,petisi_gojek,gojek
3,angkutan online,0.006585986318242358,petisi_gojek,gojek
3,gojek bantu,0.0048894636984883,petisi_gojek,gojek
3,online bantu,0.004740451245258491,petisi_gojek,gojek
3,jasa transportasi,0.0035673023988966857,petisi_gojek,gojek
3,dukung gojek,0.003552713768117215,petisi_gojek,gojek
3,menandatangani petisi,0.0030185770625280276,petisi_gojek,gojek
3,supir angkot,0.003018577062526821,petisi_gojek,gojek
3,aman nyaman,0.003018577062526623,petisi_gojek,gojek
3,alat transportasi,0.0030185770625262903,petisi_gojek,gojek
3,kemajuan teknologi,0.002744160965934359,petisi_gojek,gojek
3,mata pencaharian,0.0027372579530725934,petisi_gojek,gojek
3,berbasis online,0.0025261771756789854,petisi_gojek,gojek
3,pengguna jasa,0.0024684599941128464,petisi_gojek,gojek
3,moda transportasi,0.0022702178772510836,petisi_gojek,gojek
1,nice app,0.0035580706965090275,playsotore_customer,gojek
1,fitur chat,0.0029872049694396607,playsotore_customer,gojek
1,chat driver,0.0027351606464450485,playsotore_customer,gojek
1,user friendly,0.0025017199506239913,playsotore_customer,gojek
1,kustomer service,0.0024002875816617614,playsotore_customer,gojek
1,pakai gopay,0.0021947135129490257,playsotore_customer,gojek
1,update terbaru,0.0015189013985931414,playsotore_customer,gojek
1,terima kasih,0.0014626899273766268,playsotore_customer,gojek
