kasus,sumber_data,term,value,eksplorasi,topic
change,petisi,love bali,0.013682599792359593,topicmodelling,1
change,petisi,teluk benoa,0.011980775602752566,topicmodelling,1
change,petisi,pulau bali,0.006949735854961325,topicmodelling,1
change,petisi,bali sale,0.006593934305080879,topicmodelling,1
change,petisi,save bali,0.0055484267086532615,topicmodelling,1
change,petisi,bali bali,0.005010398981425615,topicmodelling,1
change,petisi,bali indah,0.004338312184266451,topicmodelling,1
change,petisi,setuju reklamasi,0.003845917347716265,topicmodelling,1
change,petisi,perpres fiftyone,0.003829143886913407,topicmodelling,1
change,petisi,reklamasi rusak,0.003735899532104233,topicmodelling,1
change,petisi,fiftyone twothousandandfourteen,0.0029692423143931157,topicmodelling,1
change,petisi,reklamasi teluk,0.002904202943842325,topicmodelling,1
change,petisi,masyarakat bali,0.002782098467989067,topicmodelling,1
change,petisi,rusak lingkungan,0.0027449025354379557,topicmodelling,1
change,petisi,orang bali,0.0027248316381063824,topicmodelling,1
change,petisi,orang bali,0.011664413863815316,topicmodelling,2
change,petisi,rusak alam,0.009342049552252237,topicmodelling,2
change,petisi,alam bali,0.008296794086167587,topicmodelling,2
change,petisi,anak cucu,0.007477028208203518,topicmodelling,2
change,petisi,kelestarian alam,0.006500994406165578,topicmodelling,2
change,petisi,tolak reklamasi,0.006249930861741056,topicmodelling,2
change,petisi,reklamasi rusak,0.0054866063394052615,topicmodelling,2
change,petisi,teluk benoa,0.004317424828075655,topicmodelling,2
change,petisi,keindahan alam,0.003893573360482056,topicmodelling,2
change,petisi,bali bali,0.003797003400589865,topicmodelling,2
change,petisi,rusak lingkungan,0.0036985087244264148,topicmodelling,2
change,petisi,menjaga kelestarian,0.0034922886433526265,topicmodelling,2
change,petisi,budaya bali,0.0033107950253873824,topicmodelling,2
change,petisi,warga bali,0.0033013531401320053,topicmodelling,2
change,petisi,alam rusak,0.0027666430884557263,topicmodelling,2
change,petisi,tolak reklamasi,0.06758662986163745,topicmodelling,3
