source,target,value
0,4,7
1,4,3
2,12,5
3,4,8
4,12,35
0,5,34
6,13,18
5,7,21
4,8,21
4,9,21
10,156,20
1,86,4
11,44,19
12,29,18
0,8,18
0,14,17
15,100,17
16,139,16
4,17,16
18,157,16
10,158,15
19,159,15
3,21,14
2,20,6
0,114,14
2,57,6
21,99,13
0,22,12
3,114,12
5,23,12
2,64,5
2,99,12
0,24,12
2,25,11
2,26,11
5,27,11
2,28,11
5,29,11
2,30,11
0,13,4
4,20,10
2,80,10
31,132,10
5,32,9
0,33,9
14,34,9
35,100,9
0,36,9
2,160,8
2,127,3
37,161,8
0,28,8
29,38,8
2,39,8
2,16,8
40,44,8
0,34,8
35,162,8
41,159,8
2,42,8
43,104,8
44,84,7
44,96,7
9,44,7
8,67,7
2,21,7
45,116,7
4,46,7
46,163,7
21,104,3
21,64,7
21,151,7
2,33,7
29,45,7
29,39,7
4,72,7
35,164,7
0,42,7
19,47,7
0,165,7
48,166,6
49,167,6
6,50,6
2,75,6
51,55,6
52,168,6
53,74,4
21,97,6
7,29,6
21,29,6
0,39,6
3,5,6
35,54,6
6,55,5
56,116,6
4,114,6
4,80,6
4,43,6
3,11,6
0,6,6
58,169,5
1,44,5
12,129,5
29,59,5
26,139,5
2,72,4
2,79,5
27,103,5
27,43,5
51,170,5
3,28,5
2,60,5
8,46,5
21,116,5
21,57,5
23,29,5
29,131,5
29,57,5
0,29,5
10,61,5
62,128,5
62,95,5
29,63,5
13,140,5
4,171,5
4,13,5
4,95,5
4,172,5
2,34,5
0,44,5
0,173,5
5,43,5
66,174,4
66,175,4
44,106,4
17,44,4
1,3,4
4,67,4
12,125,4
0,68,4
0,25,4
50,70,4
50,55,4
26,133,4
0,26,4
69,70,4
2,70,4
2,6,4
2,176,4
2,110,4
2,13,4
2,4,4
2,140,3
2,151,4
27,29,4
71,177,4
2,14,4
66,73,4
15,162,4
0,75,4
5,76,4
42,76,4
77,178,4
0,78,4
1,39,4
5,24,4
29,79,4
80,179,4
16,25,4
81,169,4
82,163,4
0,83,4
84,180,4
11,85,4
4,44,4
4,181,4
4,27,4
4,29,4
4,55,4
4,131,4
4,42,4
2,87,4
1,34,4
88,166,4
0,89,4
90,91,4
45,91,4
92,182,4
92,183,4
92,129,4
93,131,4
38,94,4
0,95,4
18,96,4
25,97,4
9,184,4
9,114,4
98,139,4
30,99,4
2,100,4
0,100,4
28,42,4
1,42,4
101,185,4
15,47,4
4,102,4
0,2,3
0,94,4
43,45,4
6,70,3
66,186,3
20,44,3
2,44,3
3,6,3
2,67,3
103,187,3
12,112,3
12,79,3
12,137,3
0,12,3
46,105,3
0,23,3
106,188,3
25,46,3
25,36,3
13,50,3
3,107,3
0,70,3
108,126,3
2,109,3
2,189,3
2,50,3
2,190,3
2,10,3
2,29,3
2,191,3
2,192,3
2,193,3
110,194,3
2,111,3
7,27,3
27,129,3
29,112,3
15,164,3
29,75,3
13,46,3
6,53,3
91,113,3
23,76,3
27,76,3
44,114,3
115,195,3
116,196,3
2,117,3
13,29,3
29,64,3
29,42,3
29,118,3
38,119,3
5,22,3
5,33,3
1,5,3
27,120,3
31,121,3
16,42,3
122,197,3
123,198,3
58,81,3
124,134,3
63,91,3
29,125,3
47,126,3
55,127,3
13,55,3
128,199,3
18,84,3
13,44,3
13,127,3
13,200,3
1,114,3
4,160,3
4,59,3
4,117,3
4,129,3
4,140,3
4,201,3
23,129,3
5,129,3
129,202,3
2,40,3
40,46,3
40,82,3
14,130,3
131,203,3
78,131,3
131,204,3
29,132,3
3,34,3
34,52,3
2,133,3
5,134,3
14,135,3
136,205,3
29,137,3
138,159,3
2,139,3
39,139,3
141,172,3
92,206,3
92,207,3
92,208,3
142,209,3
143,210,3
2,144,3
2,93,3
30,139,3
145,211,3
146,212,3
25,64,3
39,64,3
147,213,3
29,148,3
84,96,3
98,149,3
94,150,3
150,170,3
116,151,3
99,116,3
152,214,3
42,60,3
153,215,3
4,154,3
0,216,3
0,7,3
0,127,3
0,55,3
1,155,3
37,43,3
43,64,3
0,43,3
